segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z
0,12.0534,0,1.05278,-2.910821,0,-1.003089,0,0,0,0,10,11,0.3,0.6,0,209.395752,16,119614150.9,-2700929.935,-4291896.552,3855544.189
1,13.4359,12.0534,7.533896,-13.073478,0,-1.003089,0,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,13.4359,25.4893,17.162888,-21.913017,0,-0.217693,0.11691,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,13.4359,38.9252,27.361974,-15.40874,0,1.353098,0.11691,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,12.029076,52.3611,23.418384,-2.965781,0,2.138503,0,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,13.4359,64.390176,16.950348,7.176368,0,2.138503,0,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,13.4359,77.826076,7.321362,16.015913,0,2.923899,0.11691,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,13.4359,91.261976,-2.877728,9.511643,0,4.49469,0.11691,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,12.0534,104.697876,1.05278,-2.910821,0,-1.003089,0,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,13.4359,116.751276,7.533896,-13.073478,0,-1.003089,0,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,13.4359,130.187176,17.162888,-21.913017,0,-0.217693,0.11691,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,13.4359,143.623076,27.361974,-15.40874,0,1.353098,0.11691,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,12.029076,157.058976,23.418384,-2.965781,0,2.138503,0,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,13.4359,169.088052,16.950348,7.176368,0,2.138503,0,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,13.4359,182.523952,7.321362,16.015913,0,2.923899,0.11691,0.11691,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,13.4359,195.959852,-2.877728,9.511643,0,4.49469,0.11691,0,0,0,10,11,0.3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
